Provincia;Municipio;Localidad;Codigo_postal;Direccion;Margen;Longitud;Latitud;Precio_gasolina_95;Precio_gasoleo_A;Precio_gasoleo_B;Precio_bioetanol;Precio_nuevo_gasoleo_A;Precio_biodiesel;Porc_ester_metilico;Porc_bioalcohol;Precio_gasolina_98;Precio_gas_natural_comprimido;Precio_gas_natural_licuado;Precio_gases_licuados_del_petroleo;Rotulo;Tipo_venta;Rem.;Horario
MÁLAGA;COÍN;COIN;29100;PG P.I. CANTARRANAS, PARCELA 1;N;-4,741556;36,668694;1,149;1,045;0,741;;1,115;;;;1,273;;;;REPSOL;P;dm;L-D: 24H
MÁLAGA;COÍN;COIN;29100;AVDA. REINA SOFIA, S/N;N;-4,753139;36,663139;1,149;1,045;0,741;;1,115;;;;1,273;;;;REPSOL;P;dm;L-D: 06:00-00:00
MÁLAGA;COÍN;COIN;29100;AVENIDA REINA SOFIA, 43;D;-4,748056;36,663528;1,099;1,009;;;;;;;;;;;REPOSTA COIN;P;dm;L-D: 24H
MÁLAGA;COÍN;COIN;29100;CARRETERA COIN-CARTAMA KM. 1;D;-4,733750;36,674639;1,149;1,045;;;1,115;;;;1,273;;;;LA TROCHA;P;dm;L-D: 24H
MÁLAGA;COLMENAR;COLMENAR;29170;CARRETERA A7204 KM. 29;I;-4,344694;36,910944;1,129;1,039;;;1,119;;;;;;;;REPSOL;P;OM;L-V: 07:00-20:00, S-D: 08:30-14:00 y 15:30-19:00
MÁLAGA;CÓMPETA;COMPETA;29754;CTRA.MA-111 km 16,65;D;-3,981028;36,825139;1,129;1,009;;;;;;;1,279;;;;E.S.MARIDI;P;dm;L-D: 07:00-22:00
MÁLAGA;CORTES DE LA FRONTERA;CORTES DE LA FRONTERA;29380;CARRETERA A-373 KM. 052,000;D;-5,336333;36,618806;1,086;0,978;;;;;;;;;;;HEMEGAS;P;dm;L-D: 06:00-22:00
MÁLAGA;CUEVAS DE SAN MARCOS;CUEVAS DE SAN MARCOS;29210;CARRETERA MA 202 KM. 29,3;I;-4,419750;37,267778;1,129;0,999;0,729;;1,049;;;;;;;;CEPSA;P;dm;L-D: 07:00-22:00
MÁLAGA;CUEVAS DEL BECERRO;CUEVAS DEL BECERRO;29470;CARRETERA RONDA CAMPILLOS KM. 37,2;D;-5,050611;36,870556;1,113;1,025;0,798;;1,085;;;;;;;;CEPSA;P;dm;L-D: 06:00-22:00
MÁLAGA;ESTEPONA;ESTEPONA;29680;CALLE DOCTOR CRISTOBAL RUIZ MENDEZ, 75;D;-5,155750;36,423083;1,099;1,099;;;1,099;;;;1,224;;;;GALP;P;dm;L-D: 24H
MÁLAGA;ESTEPONA;ESTEPONA;29680;AVENIDA LITORAL, S,N;I;-5,123500;36,431556;1,119;1,039;;;1,099;;;;1,244;;;;CEPSA;P;OM;L-S: 07:00-20:00, D: 07:00-15:00
MÁLAGA;ESTEPONA;ESTEPONA;29680;CR N-340, 166,5;I;-5,038861;36,463611;1,169;1,079;;;1,159;;;;1,269;;;0,689;REPSOL;P;OM;L-D: 07:00-23:00
MÁLAGA;ESTEPONA;ESTEPONA;29680;CR  N-340 P.K. 163;D;-5,042111;36,463278;1,169;1,079;;;1,159;;;;1,269;;;0,689;REPSOL;P;OM;L-D: 07:00-23:00
MÁLAGA;ESTEPONA;ESTEPONA;29680;AU AP-7  161,00 D;D;-5,114944;36,465167;1,169;1,069;;;1,149;;;;1,269;;;;REPSOL;P;OM;L-D: 24H
MÁLAGA;ESTEPONA;ESTEPONA;29680;AU AP-7, 161,00 I;I;-5,116556;36,463556;1,169;1,069;;;1,149;;;;1,269;;;;REPSOL;P;OM;L-D: 24H
MÁLAGA;ESTEPONA;ESTEPONA;29680;CR N-340, 169,1;I;-5,010972;36,473333;1,169;1,079;;;1,159;;;;1,269;;;;REPSOL;P;OM;L-D: 24H
MÁLAGA;ESTEPONA;ESTEPONA;29680;CARRETERA N-340 KM. 159,600;D;-5,105000;36,438889;1,149;1,044;;;1,134;;;;1,291;;;;BP RIO PADRON;P;OM;L-D: 24H
MÁLAGA;ESTEPONA;ESTEPONA;29680;AVENIDA JUAN CARLOS I, 139;N;-5,156611;36,428194;1,149;1,044;;;1,134;;;;1,291;;;;BP AVENIDA JUAN CARLOS I;P;OM;L-D: 24H
MÁLAGA;ESTEPONA;ESTEPONA;29680;CR N-340, P.K.  157.1;N;-5,129500;36,429306;1,149;1,044;;;1,134;;;;1,291;;;;BP ESTEPONA;P;OM;L-D: 24H
MÁLAGA;ESTEPONA;ESTEPONA;29680;CARRETERA CN 340 KM. 148;D;-5,205972;36,388694;1,139;1,019;;;1,089;;;;1,263;;;;REPSOL;P;dm;L-D: 24H
MÁLAGA;ESTEPONA;ESTEPONA;29680;SECTOR ARROYO ENMEDIO E4, 4;D;-5,202778;36,393250;0,907;0,817;;;;;;;;;;;BALLENOIL;P;dm;L-D: 24H
MÁLAGA;ESTEPONA;ESTEPONA;29680;URBANIZACIÓN EL SALADILLO, ;D;-5,042028;36,462056;1,138;1,008;;;1,108;;;;1,268;;;;E.S. SALADILLO;P;dm;L-D: 24H
MÁLAGA;ESTEPONA;ESTEPONA;29680;AUTOVIA A-7 KM. 151;I;-5,189556;36,407750;0,907;0,837;;;;;;;;;;;PETROL & GO ;P;dm;L-D: 24H
MÁLAGA;ESTEPONA;ESTEPONA;29680;AVENIDA DEL CARMEN, S/N;D;-5,175889;36,417194;1,119;1,039;;;1,119;;;;1,259;;;;SHELL;P;OM;L-D: 06:00-00:00
MÁLAGA;ESTEPONA;ESTEPONA;29680;AVENIDA JOSE MARTIN MENDEZ, S/N;N;-5,171389;36,431833;1,119;1,039;;;1,119;;;;1,259;;;;SHELL;P;OM;L-D: 06:00-00:00
MÁLAGA;ESTEPONA;ESTEPONA;29680;N-340 km 154,800;N;-5,160472;36,434361;1,119;1,039;;;1,129;;;;1,244;;;;GALP;P;OM;L-D: 24H
MÁLAGA;ESTEPONA;LOMA DEL MONTE;29680;GLORIETA ACCESO POLIGONO INDUSTRIAL, SN;I;-5,174028;36,432139;1,119;1,039;;;1,099;;;;1,244;;;;CEPSA;P;OM;L-V: 07:00-20:00, S: 08:00-15:00
MÁLAGA;FRIGILIANA;FRIGILIANA;29778;AUTOVIA A-7 KM. 292;D;-3,888194;36,762083;1,148;1,037;;;1,128;;;;;;;;CEPSA;P;dm;L-D: 24H
MÁLAGA;FUENGIROLA;FUENGIROLA;29640;CARRETERA A-387 KM. 5,6;D;-4,598972;36,587139;1,119;1,039;;;1,099;;;;1,244;;;;CEPSA;P;OM;L-V: 07:00-16:00, S-D: 10:00-15:00
MÁLAGA;FUENGIROLA;FUENGIROLA;29640;AVENIDA SALINAS DE LAS, 2;I;-4,614778;36,555583;1,139;1,049;;;1,129;;;;1,279;;;0,639;REPSOL;P;OM;L-D: 07:00-23:00
MÁLAGA;FUENGIROLA;FUENGIROLA;29640;CARRETERA CR DE MIJAR KM. 6;D;-4,627778;36,552222;1,139;1,049;;;1,129;;;;1,279;;;;REPSOL;P;OM;L-D: 24H
MÁLAGA;FUENGIROLA;FUENGIROLA;29640;AVENIDA RAMON Y CAJAL,, S.N;D;-4,618222;36,547750;1,139;1,049;;;1,129;;;;1,279;;;;REPSOL;P;OM;L-D: 07:00-23:00
MÁLAGA;FUENGIROLA;FUENGIROLA;29640;CARRER NACIONAL 340 KM212, 212;D;-4,630444;36,520111;1,149;1,044;;;1,134;;;;1,291;;;0,699;BP EL CASTILLO;P;dm;L-D: 24H
MÁLAGA;FUENGIROLA;FUENGIROLA;29640;PARC PARCELA 1.3 DE LA UE-3.11 FINCA VALDELECRIN, SN;N;-4,621139;36,564250;1,119;1,029;;;1,099;;;;1,249;;;;GALP;P;OM;L-D: 24H
MÁLAGA;FUENGIROLA;FUENGIROLA;29640;CARRETERA DE MIJAS, EQUINA CALLE VIRIATO KM. 6,1;D;-4,627028;36,556639;1,079;0,989;;;;;;;;;;;Q8 EASY;P;OM;L-D: 24H
